Start,End,Asset,Frequency,Total Trades,Total P/L,Trades Won (n),Trades Won (%),Trades Lost (n),Trades Lost (%),Trades Tied (n),Trades Tied (%)
2000-02-01 00:00,2022-12-22 00:00,HSX.L.csv,D1,123,-503.6222324631794,30,24.390243902439025,93,75.60975609756098,0,0.0
2003-01-30 00:00,2022-12-22 00:00,IAG.L.csv,D1,74,-228.35788217389234,19,25.675675675675674,55,74.32432432432432,0,0.0
2003-04-28 00:00,2022-12-22 00:00,IHG.L.csv,D1,106,-196.42867121977997,39,36.79245283018868,67,63.20754716981132,0,0.0
1996-10-29 00:00,2022-12-22 00:00,IMB.L.csv,D1,178,-2211.0847898662514,43,24.15730337078652,135,75.84269662921348,0,0.0
1999-01-19 00:00,2022-12-22 00:00,INF.L.csv,D1,117,-744.0489774730877,28,23.931623931623932,89,76.06837606837607,0,0.0
2002-06-21 00:00,2022-12-22 00:00,ITRK.L.csv,D1,134,-4164.502235663332,31,23.134328358208954,103,76.86567164179104,0,0.0
2000-02-01 00:00,2022-12-22 00:00,ITV.L.csv,D1,90,-108.89312135410349,27,30.0,63,70.0,0,0.0
1996-11-19 00:00,2022-12-22 00:00,JD.L.csv,D1,88,-21.567700757733974,25,28.40909090909091,63,71.5909090909091,0,0.0
1988-07-29 00:00,2022-12-22 00:00,JMAT.L.csv,D1,149,-1191.69153075894,45,30.201342281879196,104,69.79865771812081,0,0.0
1988-07-29 00:00,2022-12-22 00:00,KGF.L.csv,D1,148,-193.81918408070982,47,31.756756756756754,101,68.24324324324324,0,0.0
1988-07-29 00:00,2022-12-22 00:00,LAND.L.csv,D1,189,-1109.9829092712318,44,23.28042328042328,145,76.71957671957672,0,0.0
1988-07-29 00:00,2022-12-22 00:00,LGEN.L.csv,D1,163,5.9652696120631,50,30.67484662576687,113,69.32515337423312,0,0.0
1996-01-25 00:00,2022-12-22 00:00,LLOY.L.csv,D1,97,-44.712954314927494,39,40.20618556701031,58,59.79381443298969,0,0.0
2007-07-27 00:00,2022-12-22 00:00,MNDI.L.csv,D1,74,-137.4236585917912,24,32.432432432432435,50,67.56756756756756,0,0.0
2019-11-18 00:00,2022-12-22 00:00,MNG.L.csv,D1,14,47.45176513512378,6,42.857142857142854,8,57.14285714285714,0,0.0
2003-11-25 00:00,2022-12-22 00:00,MRO.L.csv,D1,53,-172.16857645257278,11,20.754716981132077,42,79.24528301886792,0,0.0
1996-01-08 00:00,2022-12-22 00:00,NG.L.csv,D1,167,-117.17989353914321,40,23.952095808383234,127,76.04790419161677,0,0.0
1988-07-29 00:00,2022-12-22 00:00,NXT.L.csv,D1,157,-4655.085173169783,39,24.840764331210192,118,75.15923566878982,0,0.0
2010-08-18 00:00,2022-12-22 00:00,OCDO.L.csv,D1,23,-381.93291586303707,7,30.434782608695656,16,69.56521739130434,0,0.0
2009-12-15 00:00,2022-12-22 00:00,PHNX.L.csv,D1,86,-489.53558247865845,19,22.093023255813954,67,77.90697674418605,0,0.0
2011-11-25 00:00,2022-12-22 00:00,POLY.L.csv,D1,32,-162.62354176198653,9,28.125,23,71.875,0,0.0
1988-07-29 00:00,2022-12-22 00:00,PRU.L.csv,D1,147,-383.34030179712806,39,26.53061224489796,108,73.46938775510205,0,0.0
1988-07-29 00:00,2022-12-22 00:00,PSN.L.csv,D1,117,-190.2076080054141,41,35.04273504273504,76,64.95726495726495,0,0.0
1988-07-29 00:00,2022-12-22 00:00,PSON.L.csv,D1,157,358.6285038826641,41,26.11464968152866,116,73.88535031847134,0,0.0
1988-07-29 00:00,2022-12-22 00:00,REL.L.csv,D1,196,-514.5744962719081,50,25.510204081632654,146,74.48979591836735,0,0.0
1988-07-29 00:00,2022-12-22 00:00,RIO.L.csv,D1,127,-1821.8016077734305,37,29.133858267716533,90,70.86614173228347,0,0.0
2006-04-07 00:00,2022-12-22 00:00,RMV.L.csv,D1,92,-580.1580523108939,17,18.478260869565215,75,81.52173913043478,0,0.0
1988-07-29 00:00,2022-12-22 00:00,RR.L.csv,D1,124,-159.57820411798625,34,27.419354838709676,90,72.58064516129032,0,0.0
1988-07-29 00:00,2022-12-22 00:00,RTO.L.csv,D1,174,102.07894439279274,52,29.88505747126437,122,70.11494252873564,0,0.0
1988-07-29 00:00,2022-12-22 00:00,SBRY.L.csv,D1,172,-432.6808580009045,43,25.0,129,75.0,0,0.0
1988-07-29 00:00,2022-12-22 00:00,SDR.L.csv,D1,114,-245.1982685236574,28,24.561403508771928,86,75.43859649122807,0,0.0
1990-01-10 00:00,2022-12-22 00:00,SGE.L.csv,D1,162,-740.5980760734358,36,22.22222222222222,126,77.77777777777779,0,0.0
1988-07-29 00:00,2022-12-22 00:00,SGRO.L.csv,D1,181,-1271.6066939914517,49,27.071823204419886,132,72.92817679558011,0,0.0
2007-04-13 00:00,2022-12-22 00:00,SKG.L.csv,D1,67,-637.2598186020442,20,29.850746268656714,47,70.1492537313433,0,0.0
1988-07-29 00:00,2022-12-22 00:00,SMDS.L.csv,D1,136,-95.30404033075708,42,30.88235294117647,94,69.11764705882352,0,0.0
1988-07-29 00:00,2022-12-22 00:00,SMIN.L.csv,D1,194,-1426.3840184806838,52,26.804123711340207,142,73.19587628865979,0,0.0
1969-01-28 00:00,2022-12-22 00:00,SMT.L.csv,D1,227,-518.8225663982224,53,23.348017621145374,174,76.65198237885463,0,0.0
1988-07-29 00:00,2022-12-22 00:00,SN.L.csv,D1,168,-1180.0640889923448,48,28.57142857142857,120,71.42857142857143,0,0.0
1988-07-29 00:00,2022-12-22 00:00,SPX.L.csv,D1,148,-3734.7836391898954,43,29.054054054054053,105,70.94594594594594,0,0.0
1991-07-15 00:00,2022-12-22 00:00,SSE.L.csv,D1,212,-1967.62788014441,43,20.28301886792453,169,79.71698113207547,0,0.0
