time,open,high,low,close,volume,dividends,stock splits,bb_bbh,bb_bbl,rsi,signal,action,position,Trade P/L,Brokerage Cost,Total profit,Executed price,Take Profit,Stop Loss
2015-04-20 00:00:00+01:00,249.7144217386733,254.3387628819821,249.7144217386733,253.4138946533203,2817255,0.0,0.0,256.7651256068452,232.30520672958065,68.55243745034177,0,hold,0,0,,0,,,
2015-04-21 00:00:00+01:00,254.33880282417903,254.33880282417903,249.25202676769547,250.1768951416016,857066,0.0,0.0,257.2370255519779,232.29574422341275,57.59984401533112,0,hold,0,0,,0,,,
2015-04-22 00:00:00+01:00,246.2462171696316,249.7144737494856,245.0901316430136,245.7837829589844,386219,0.0,0.0,257.278976961528,232.3231653724564,48.90978105848491,0,hold,0,0,,0,,,
2015-04-23 00:00:00+01:00,245.32131264955945,245.7837467921599,240.69697122355453,242.31549072265625,765156,0.0,0.0,257.1859234023426,232.13876226660273,43.228910486356,0,hold,0,0,,0,,,
2015-04-24 00:00:00+01:00,237.22868118286132,251.5641375506366,237.22868118286132,249.7144012451172,2632958,0.0,0.0,257.6900426725992,232.4901407380453,56.6262629188817,0,hold,0,0,,0,,,
2015-04-27 00:00:00+01:00,253.18267904155368,258.50067138671875,252.25781080761195,258.50067138671875,1836756,0.0,0.0,259.52639532760776,232.73474358840784,67.3258885337988,0,hold,0,0,,0,,,
2015-04-28 00:00:00+01:00,258.7319161273655,258.9631332105892,252.02662071387695,254.10757446289065,2715407,0.0,0.0,259.656736906859,234.66223587146126,61.579248111399075,0,hold,0,0,,0,,,
2015-04-29 00:00:00+01:00,258.96309474994246,258.96309474994246,250.408063941239,251.10171508789065,3613181,0.0,0.0,259.3061426597908,236.58510337292404,56.5599006368749,-1,short,-1,0,0.4994289140140309,0,249.71445700701543,237.22873415666464,254.70874614715575
2015-04-30 00:00:00+01:00,249.71445700701543,252.4890620848712,249.25202282737283,251.56419372558597,539058,0.0,0.0,257.96555786193665,239.7985473626727,57.98162120777209,0,hold,-1,-1.84973671857054,,0,,,
2015-05-01 00:00:00+01:00,252.2577886652064,255.49482719986528,247.86466493959784,249.7144012451172,1698759,0.0,0.0,257.40085156526817,241.38060748014198,53.05917186018931,0,close short,0,-5.780370192849858,0.5109896543997305,-6.79078876126362,255.49482719986528,,
