Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2022-01-03 01:00:00+00:00,2022-01-10 00:55:00+00:00,20,10,10,-0.0008000000000000021,50.0
2,2022-01-10 01:00:00+00:00,2022-01-17 00:55:00+00:00,14,8,6,0.003599999999999496,56.99999999999999
3,2022-01-17 01:00:00+00:00,2022-01-24 00:55:00+00:00,13,7,6,0.0012800000000000224,54.0
4,2022-01-24 01:00:00+00:00,2022-01-31 00:55:00+00:00,21,10,11,-0.0007299999999997257,48.0
5,2022-01-31 01:00:00+00:00,2022-02-07 00:55:00+00:00,23,14,9,0.014110000000000109,61.0
6,2022-02-07 01:00:00+00:00,2022-02-14 00:55:00+00:00,26,14,12,-0.00048000000000029616,54.0
7,2022-02-14 01:00:00+00:00,2022-02-21 00:55:00+00:00,23,9,14,-0.01268999999999895,39.0
8,2022-02-21 01:00:00+00:00,2022-02-28 00:55:00+00:00,39,23,16,0.029139999999999527,59.0
9,2022-02-28 01:00:00+00:00,2022-03-07 00:55:00+00:00,40,19,21,-0.003469999999999973,48.0
10,2022-03-07 01:00:00+00:00,2022-03-14 00:55:00+00:00,51,23,27,-0.013010000000000133,45.0
11,2022-03-14 01:00:00+00:00,2022-03-21 00:55:00+00:00,47,24,23,-0.0010299999999990594,51.0
12,2022-03-21 01:00:00+00:00,2022-03-28 00:55:00+00:00,24,9,15,-0.01189999999999948,38.0
13,2022-03-28 01:00:00+00:00,2022-04-04 00:55:00+00:00,33,18,15,0.005319999999999764,55.00000000000001
14,2022-04-04 01:00:00+00:00,2022-04-11 00:55:00+00:00,22,9,13,-0.007589999999999994,41.0
15,2022-04-11 01:00:00+00:00,2022-04-18 00:55:00+00:00,21,15,6,0.023180000000000374,71.0
16,2022-04-18 01:00:00+00:00,2022-04-25 00:55:00+00:00,25,10,15,-0.014110000000000804,40.0
17,2022-04-25 01:00:00+00:00,2022-05-02 00:55:00+00:00,43,20,23,-0.009429999999998995,47.0
18,2022-05-02 01:00:00+00:00,2022-05-09 00:55:00+00:00,47,22,25,-0.006810000000000106,47.0
19,2022-05-09 01:00:00+00:00,2022-05-16 00:55:00+00:00,37,18,19,-0.013160000000000576,49.0
20,2022-05-16 01:00:00+00:00,2022-05-23 00:55:00+00:00,31,18,13,0.009280000000000082,57.99999999999999
21,2022-05-23 01:00:00+00:00,2022-05-30 00:55:00+00:00,38,11,27,-0.03955000000000042,28.999999999999996
22,2022-05-30 01:00:00+00:00,2022-06-06 00:55:00+00:00,30,9,21,-0.031079999999998754,30.0
23,2022-06-06 01:00:00+00:00,2022-06-13 00:55:00+00:00,31,15,16,-0.008319999999999925,48.0
24,2022-06-13 01:00:00+00:00,2022-06-20 00:55:00+00:00,58,27,31,-0.013020000000000281,47.0
25,2022-06-20 01:00:00+00:00,2022-06-27 00:55:00+00:00,31,17,14,0.00598999999999901,55.00000000000001
26,2022-06-27 01:00:00+00:00,2022-07-04 00:55:00+00:00,34,22,12,0.023170000000000218,65.0
27,2022-07-04 01:00:00+00:00,2022-07-11 00:55:00+00:00,37,20,17,0.004850000000000229,54.0
28,2022-07-11 01:00:00+00:00,2022-07-18 00:55:00+00:00,46,15,31,-0.042149999999999105,33.0
29,2022-07-18 01:00:00+00:00,2022-07-25 00:55:00+00:00,48,22,26,-0.012639999999998874,46.0
30,2022-07-25 01:00:00+00:00,2022-08-01 00:55:00+00:00,51,24,27,-0.009259999999999907,47.0
31,2022-08-01 01:00:00+00:00,2022-08-08 00:55:00+00:00,34,13,21,-0.022609999999999714,38.0
32,2022-08-08 01:00:00+00:00,2022-08-15 00:55:00+00:00,27,11,16,-0.01877000000000076,41.0
33,2022-08-15 01:00:00+00:00,2022-08-22 00:55:00+00:00,27,17,10,0.015619999999999384,63.0
34,2022-08-22 01:00:00+00:00,2022-08-29 00:55:00+00:00,35,16,19,-0.009730000000000377,46.0
35,2022-08-29 01:00:00+00:00,2022-09-05 00:55:00+00:00,39,19,20,-0.001970000000000721,49.0
36,2022-09-05 01:00:00+00:00,2022-09-12 00:55:00+00:00,45,21,24,-0.0047900000000011544,47.0
37,2022-09-12 01:00:00+00:00,2022-09-19 00:55:00+00:00,36,19,17,-0.001560000000000672,53.0
38,2022-09-19 01:00:00+00:00,2022-09-26 00:55:00+00:00,41,21,20,-0.007570000000000271,51.0
39,2022-09-26 01:00:00+00:00,2022-10-03 00:55:00+00:00,61,35,26,0.026769999999999433,56.99999999999999
40,2022-10-03 01:00:00+00:00,2022-10-10 00:55:00+00:00,46,24,22,0.0038299999999997225,52.0
41,2022-10-10 01:00:00+00:00,2022-10-17 00:55:00+00:00,44,24,20,0.004239999999999133,55.00000000000001
42,2022-10-17 01:00:00+00:00,2022-10-24 00:55:00+00:00,43,25,18,0.011890000000000095,57.99999999999999
43,2022-10-24 01:00:00+00:00,2022-10-31 00:55:00+00:00,41,23,18,0.013289999999999372,56.00000000000001
44,2022-10-31 01:00:00+00:00,2022-11-07 00:55:00+00:00,42,21,21,-0.0033800000000002717,50.0
45,2022-11-07 01:00:00+00:00,2022-11-14 00:55:00+00:00,48,31,17,0.04689000000000054,65.0
46,2022-11-14 01:00:00+00:00,2022-11-21 00:55:00+00:00,54,28,26,0.00829000000000149,52.0
47,2022-11-21 01:00:00+00:00,2022-11-25 23:45:00+00:00,34,13,21,-0.017619999999999886,38.0
