Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2022-02-15 19:40:00+00:00,1.13544,2022-02-16 10:50:00+00:00,1.13955,0.00407000000000006
buy,2022-02-16 12:05:00+00:00,1.1381,2022-02-16 15:30:00+00:00,1.1357,-0.002439999999999956
short,2022-02-16 16:50:00+00:00,1.13656,2022-02-16 21:05:00+00:00,1.13925,-0.0027300000000000796
buy,2022-02-16 22:30:00+00:00,1.1386,2022-02-17 05:55:00+00:00,1.13302,-0.005620000000000139
buy,2022-02-17 13:55:00+00:00,1.13658,2022-02-18 16:00:00+00:00,1.13455,-0.0020699999999999746
short,2022-02-18 20:40:00+00:00,1.13289,2022-02-21 03:40:00+00:00,1.135,-0.0021500000000000546
buy,2022-02-21 07:50:00+00:00,1.13634,2022-02-21 14:05:00+00:00,1.1343,-0.002079999999999818
short,2022-02-21 17:50:00+00:00,1.1336,2022-02-22 05:35:00+00:00,1.1288,0.004759999999999917
buy,2022-02-22 12:00:00+00:00,1.13265,2022-02-22 12:50:00+00:00,1.1367,0.004010000000000111
buy,2022-02-22 15:25:00+00:00,1.13475,2022-02-22 19:20:00+00:00,1.13254,-0.0022499999999998216
short,2022-02-22 21:40:00+00:00,1.13303,2022-02-23 11:55:00+00:00,1.1359,-0.0029099999999999265
short,2022-02-23 15:15:00+00:00,1.13418,2022-02-23 22:35:00+00:00,1.13013,0.004009999999999889
short,2022-02-23 23:30:00+00:00,1.1304,2022-02-24 05:20:00+00:00,1.12621,0.00415000000000014
short,2022-02-24 08:20:00+00:00,1.12443,2022-02-24 12:00:00+00:00,1.1194,0.004990000000000092
short,2022-02-24 18:20:00+00:00,1.11394,2022-02-24 19:25:00+00:00,1.11734,-0.003440000000000068
buy,2022-02-25 08:25:00+00:00,1.12191,2022-02-25 09:05:00+00:00,1.1197,-0.0022500000000000436
short,2022-02-25 13:05:00+00:00,1.11737,2022-02-25 14:05:00+00:00,1.11958,-0.0022500000000000436
buy,2022-02-25 21:55:00+00:00,1.12634,2022-02-28 00:00:00+00:00,1.11247,-0.013909999999999825
buy,2022-02-28 11:30:00+00:00,1.11722,2022-02-28 12:55:00+00:00,1.12321,0.0059499999999999414
short,2022-02-28 21:00:00+00:00,1.12076,2022-03-01 09:55:00+00:00,1.12299,-0.0022699999999999526
buy,2022-03-02 00:10:00+00:00,1.11234,2022-03-02 08:45:00+00:00,1.10968,-0.002700000000000105
buy,2022-03-02 15:45:00+00:00,1.10994,2022-03-02 16:45:00+00:00,1.10761,-0.0023699999999999416
buy,2022-03-02 22:50:00+00:00,1.1121,2022-03-03 02:35:00+00:00,1.11009,-0.0020500000000000657
short,2022-03-03 05:05:00+00:00,1.1102,2022-03-03 17:30:00+00:00,1.10603,0.004130000000000009
short,2022-03-03 20:35:00+00:00,1.1058,2022-03-04 02:35:00+00:00,1.10118,0.004579999999999848
short,2022-03-04 11:30:00+00:00,1.10182,2022-03-04 13:35:00+00:00,1.09763,0.004149999999999918
short,2022-03-07 19:55:00+00:00,1.08751,2022-03-07 20:25:00+00:00,1.09003,-0.002560000000000076
short,2022-03-08 01:15:00+00:00,1.08539,2022-03-08 03:45:00+00:00,1.08806,-0.0027099999999999486
buy,2022-03-08 06:15:00+00:00,1.08694,2022-03-08 10:10:00+00:00,1.09167,0.004689999999999903
buy,2022-03-08 12:50:00+00:00,1.08935,2022-03-08 17:35:00+00:00,1.08722,-0.0021699999999999636
short,2022-03-09 01:10:00+00:00,1.08952,2022-03-09 03:00:00+00:00,1.09201,-0.0025299999999998796
buy,2022-03-09 05:35:00+00:00,1.09142,2022-03-09 10:30:00+00:00,1.09555,0.004089999999999969
buy,2022-03-09 21:10:00+00:00,1.10668,2022-03-10 03:20:00+00:00,1.10452,-0.00220000000000016
short,2022-03-10 04:55:00+00:00,1.10523,2022-03-10 11:00:00+00:00,1.10805,-0.002860000000000043
short,2022-03-10 13:50:00+00:00,1.10413,2022-03-10 14:45:00+00:00,1.11119,-0.0070999999999998425
short,2022-03-10 23:45:00+00:00,1.09875,2022-03-11 01:50:00+00:00,1.10103,-0.002320000000000058
buy,2022-03-11 05:40:00+00:00,1.09997,2022-03-11 10:05:00+00:00,1.09728,-0.0027299999999998575
short,2022-03-11 12:35:00+00:00,1.09788,2022-03-11 13:20:00+00:00,1.10161,-0.0037700000000000095
short,2022-03-11 23:35:00+00:00,1.09108,2022-03-14 01:15:00+00:00,1.09313,-0.0020899999999998836
buy,2022-03-14 03:15:00+00:00,1.09305,2022-03-14 05:20:00+00:00,1.091,-0.0020900000000001057
short,2022-03-14 08:15:00+00:00,1.09121,2022-03-14 10:40:00+00:00,1.09336,-0.0021900000000000946
buy,2022-03-14 20:10:00+00:00,1.09699,2022-03-14 22:50:00+00:00,1.09458,-0.0024499999999997996
short,2022-03-15 01:35:00+00:00,1.09433,2022-03-15 05:00:00+00:00,1.09682,-0.0025299999999998796
buy,2022-03-15 09:20:00+00:00,1.09828,2022-03-15 19:10:00+00:00,1.09434,-0.003979999999999831
short,2022-03-15 22:40:00+00:00,1.09478,2022-03-16 02:35:00+00:00,1.09698,-0.002239999999999978
buy,2022-03-16 04:00:00+00:00,1.09589,2022-03-16 11:15:00+00:00,1.09996,0.00403000000000002
buy,2022-03-16 12:55:00+00:00,1.09869,2022-03-16 17:15:00+00:00,1.104,0.0052700000000001496
buy,2022-03-17 01:25:00+00:00,1.10202,2022-03-17 11:15:00+00:00,1.10654,0.004480000000000081
buy,2022-03-17 12:40:00+00:00,1.10493,2022-03-17 13:00:00+00:00,1.10231,-0.002660000000000065
buy,2022-03-17 13:20:00+00:00,1.10404,2022-03-17 17:25:00+00:00,1.10848,0.004400000000000001
short,2022-03-18 01:30:00+00:00,1.10912,2022-03-18 03:10:00+00:00,1.11143,-0.0023499999999998106
short,2022-03-18 07:30:00+00:00,1.10845,2022-03-18 13:30:00+00:00,1.10417,0.004239999999999841
buy,2022-03-18 21:30:00+00:00,1.10477,2022-03-21 14:10:00+00:00,1.10269,-0.00212000000000008
short,2022-03-21 16:35:00+00:00,1.10377,2022-03-22 03:40:00+00:00,1.09962,0.004109999999999878
short,2022-03-22 06:35:00+00:00,1.10014,2022-03-22 10:10:00+00:00,1.0961,0.003999999999999823
buy,2022-03-22 13:15:00+00:00,1.09934,2022-03-22 15:20:00+00:00,1.10343,0.004049999999999929
short,2022-03-22 20:35:00+00:00,1.10218,2022-03-23 01:15:00+00:00,1.10441,-0.0022699999999999526
short,2022-03-23 04:10:00+00:00,1.10248,2022-03-23 14:25:00+00:00,1.09802,0.00441999999999991
short,2022-03-23 17:55:00+00:00,1.09782,2022-03-23 18:25:00+00:00,1.09988,-0.002099999999999949
buy,2022-03-23 22:45:00+00:00,1.10066,2022-03-24 04:20:00+00:00,1.09854,-0.002159999999999898
short,2022-03-24 08:05:00+00:00,1.0984,2022-03-24 18:00:00+00:00,1.10105,-0.0026900000000000396
short,2022-03-25 00:40:00+00:00,1.09954,2022-03-25 04:10:00+00:00,1.10186,-0.002360000000000098
buy,2022-03-25 08:50:00+00:00,1.1031,2022-03-25 11:10:00+00:00,1.1011,-0.00204
short,2022-03-25 14:10:00+00:00,1.10128,2022-03-28 03:45:00+00:00,1.09719,0.004049999999999929
short,2022-03-28 08:00:00+00:00,1.09513,2022-03-28 11:35:00+00:00,1.09718,-0.0020900000000001057
short,2022-03-28 16:45:00+00:00,1.09675,2022-03-28 19:20:00+00:00,1.09887,-0.00216000000000012
buy,2022-03-28 21:30:00+00:00,1.09824,2022-03-29 12:15:00+00:00,1.10292,0.004639999999999797
short,2022-03-29 22:30:00+00:00,1.10872,2022-03-30 04:10:00+00:00,1.11083,-0.0021500000000000546
buy,2022-03-30 07:50:00+00:00,1.11134,2022-03-30 11:55:00+00:00,1.11566,0.004280000000000103
buy,2022-03-30 19:45:00+00:00,1.11568,2022-03-31 11:05:00+00:00,1.11333,-0.0023900000000000726
short,2022-03-31 15:35:00+00:00,1.11041,2022-03-31 17:55:00+00:00,1.11327,-0.002900000000000083
short,2022-04-01 00:55:00+00:00,1.10663,2022-04-04 11:00:00+00:00,1.10246,0.004130000000000009
short,2022-04-04 15:45:00+00:00,1.10008,2022-04-04 21:00:00+00:00,1.09608,0.003960000000000005
short,2022-04-04 22:20:00+00:00,1.0972,2022-04-05 17:35:00+00:00,1.09316,0.004000000000000045
short,2022-04-06 00:00:00+00:00,1.09046,2022-04-06 11:45:00+00:00,1.09247,-0.0020500000000000657
buy,2022-04-06 13:30:00+00:00,1.0906,2022-04-06 21:15:00+00:00,1.08789,-0.0027499999999999886
short,2022-04-06 23:35:00+00:00,1.08986,2022-04-07 08:55:00+00:00,1.09205,-0.0022299999999999126
short,2022-04-07 14:15:00+00:00,1.08931,2022-04-07 14:35:00+00:00,1.09146,-0.0021900000000000946
short,2022-04-08 01:20:00+00:00,1.08795,2022-04-08 16:25:00+00:00,1.0839,0.004009999999999889
buy,2022-04-08 20:20:00+00:00,1.08715,2022-04-11 00:00:00+00:00,1.0923,0.0051099999999999896
buy,2022-04-11 01:55:00+00:00,1.08915,2022-04-11 13:10:00+00:00,1.09329,0.004100000000000034
short,2022-04-11 18:05:00+00:00,1.08922,2022-04-12 15:25:00+00:00,1.08509,0.004089999999999969
short,2022-04-13 01:15:00+00:00,1.08268,2022-04-13 14:35:00+00:00,1.08479,-0.0021499999999998326
buy,2022-04-14 00:05:00+00:00,1.08874,2022-04-14 14:50:00+00:00,1.08633,-0.0024500000000000216
buy,2022-04-14 23:05:00+00:00,1.08294,2022-04-15 03:55:00+00:00,1.07976,-0.003219999999999959
short,2022-04-15 05:30:00+00:00,1.08116,2022-04-18 19:10:00+00:00,1.07714,0.003979999999999914
short,2022-04-18 21:40:00+00:00,1.07838,2022-04-19 11:10:00+00:00,1.08048,-0.002140000000000211
buy,2022-04-19 13:20:00+00:00,1.07932,2022-04-20 11:40:00+00:00,1.08364,0.004279999999999881
buy,2022-04-20 14:30:00+00:00,1.08452,2022-04-20 14:55:00+00:00,1.08251,-0.0020499999999998436
short,2022-04-20 16:40:00+00:00,1.08314,2022-04-20 17:05:00+00:00,1.08527,-0.0021699999999999636
short,2022-04-20 23:05:00+00:00,1.08516,2022-04-21 09:30:00+00:00,1.08828,-0.00316000000000001
short,2022-04-21 16:35:00+00:00,1.08842,2022-04-21 17:55:00+00:00,1.08412,0.004259999999999972
short,2022-04-21 20:50:00+00:00,1.08521,2022-04-22 10:10:00+00:00,1.08049,0.004680000000000059
buy,2022-04-22 16:50:00+00:00,1.08167,2022-04-22 17:30:00+00:00,1.07871,-0.00299999999999985
short,2022-04-22 20:50:00+00:00,1.07893,2022-04-25 01:00:00+00:00,1.08136,-0.0024700000000001526
buy,2022-04-25 01:40:00+00:00,1.08012,2022-04-25 05:25:00+00:00,1.07804,-0.002119999999999858
short,2022-04-25 11:10:00+00:00,1.07374,2022-04-25 15:05:00+00:00,1.07583,-0.0021300000000001457
short,2022-04-25 21:00:00+00:00,1.07099,2022-04-26 03:55:00+00:00,1.07314,-0.0021899999999998726
buy,2022-04-26 07:20:00+00:00,1.07328,2022-04-26 09:25:00+00:00,1.07072,-0.002600000000000116
short,2022-04-26 12:50:00+00:00,1.06889,2022-04-26 17:40:00+00:00,1.0642,0.004649999999999863
short,2022-04-26 19:30:00+00:00,1.06602,2022-04-27 09:35:00+00:00,1.06176,0.004219999999999932
short,2022-04-27 18:40:00+00:00,1.05482,2022-04-27 19:45:00+00:00,1.05702,-0.002239999999999978
buy,2022-04-27 21:40:00+00:00,1.05616,2022-04-28 03:50:00+00:00,1.05402,-0.002180000000000029
buy,2022-04-28 12:00:00+00:00,1.05233,2022-04-28 13:35:00+00:00,1.05024,-0.0021299999999999236
short,2022-04-28 17:10:00+00:00,1.05023,2022-04-28 18:05:00+00:00,1.05312,-0.0029300000000000576
short,2022-04-28 21:55:00+00:00,1.05046,2022-04-29 04:10:00+00:00,1.05247,-0.0020500000000000657
buy,2022-04-29 07:40:00+00:00,1.05155,2022-04-29 10:25:00+00:00,1.0559,0.004310000000000078
buy,2022-04-29 13:20:00+00:00,1.05681,2022-04-29 14:45:00+00:00,1.05411,-0.002739999999999923
short,2022-05-02 02:10:00+00:00,1.05433,2022-05-02 10:00:00+00:00,1.05684,-0.0025500000000000106
short,2022-05-02 14:30:00+00:00,1.05249,2022-05-03 15:00:00+00:00,1.05526,-0.0028100000000001596
short,2022-05-03 20:25:00+00:00,1.05289,2022-05-04 15:40:00+00:00,1.05535,-0.002499999999999905
buy,2022-05-04 17:20:00+00:00,1.05379,2022-05-04 21:30:00+00:00,1.0516,-0.0022299999999999126
short,2022-05-05 08:30:00+00:00,1.06132,2022-05-05 14:20:00+00:00,1.05661,0.004669999999999994
short,2022-05-05 20:10:00+00:00,1.05166,2022-05-05 22:20:00+00:00,1.05371,-0.0020899999999998836
buy,2022-05-06 02:50:00+00:00,1.05422,2022-05-06 04:40:00+00:00,1.05216,-0.002099999999999949
short,2022-05-06 06:50:00+00:00,1.0535,2022-05-06 09:55:00+00:00,1.04833,0.005130000000000121
buy,2022-05-06 15:05:00+00:00,1.05731,2022-05-06 15:55:00+00:00,1.05477,-0.002579999999999985
short,2022-05-09 01:35:00+00:00,1.05383,2022-05-09 09:50:00+00:00,1.04952,0.004270000000000038
short,2022-05-09 10:20:00+00:00,1.05038,2022-05-09 10:30:00+00:00,1.05246,-0.002119999999999858
buy,2022-05-09 20:55:00+00:00,1.05583,2022-05-10 12:50:00+00:00,1.05383,-0.00204
