time,open,high,low,close,volume,dividends,stock splits,bb_bbh,bb_bbl,rsi,signal,action,position,Trade P/L,Brokerage Cost,Total profit,Executed price,Take Profit,Stop Loss
1988-10-31 00:00:00+00:00,268.6271667480469,268.6271667480469,268.6271667480469,268.6271667480469,0,0.0,0.0,269.23175141600456,234.6151220581165,72.75744377738397,0,hold,0,0,,0,,,
1988-11-01 00:00:00+00:00,268.6271667480469,268.6271667480469,268.6271667480469,268.6271667480469,0,0.0,0.0,269.3701892967336,238.38399161146953,72.75744377738397,0,hold,0,0,,0,,,
1988-11-02 00:00:00+00:00,266.6734313964844,266.6734313964844,266.6734313964844,266.6734313964844,0,0.0,0.0,270.17569792871495,240.31359345312097,67.69796480393023,0,hold,0,0,,0,,,
1988-11-03 00:00:00+00:00,268.6271667480469,268.6271667480469,268.6271667480469,268.6271667480469,0,0.0,0.0,271.6815893719186,241.15208219790557,68.2297854682067,0,hold,0,0,,0,,,
1988-11-04 00:00:00+00:00,268.6271667480469,268.6271667480469,268.6271667480469,268.6271667480469,0,0.0,0.0,273.15055730928447,241.63676721464134,67.40572770755671,0,hold,0,0,,0,,,
1988-11-07 00:00:00+00:00,263.7430725097656,263.7430725097656,263.7430725097656,263.7430725097656,0,0.0,0.0,273.78964725548013,241.9744991678597,57.127206167328964,0,hold,0,0,,0,,,
1988-11-08 00:00:00+00:00,261.78936767578125,261.78936767578125,261.78936767578125,261.78936767578125,0,0.0,0.0,273.58164602942173,243.84310067467985,57.20216038807646,0,hold,0,0,,0,,,
1988-11-09 00:00:00+00:00,259.8357238769531,259.8357238769531,259.8357238769531,259.8357238769531,0,0.0,0.0,272.40060873144023,246.78242654688006,54.89248136299953,0,hold,0,0,,0,,,
1988-11-10 00:00:00+00:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,272.05392922225985,247.81287680801356,47.06379008636384,0,hold,0,0,,0,,,
1988-11-11 00:00:00+00:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,272.0455645523042,247.72356081390672,43.55796866674233,0,hold,0,0,,0,,,
1988-11-14 00:00:00+00:00,253.97485351562503,253.97485351562503,253.97485351562503,253.974853515625,0,0.0,0.0,272.06718404925255,247.21353494488815,38.47884312194766,0,hold,0,0,,0,,,
1988-11-15 00:00:00+00:00,253.97485351562503,253.97485351562503,253.97485351562503,253.974853515625,0,0.0,0.0,272.113805264959,246.87387784050966,39.156966350693246,0,hold,0,0,,0,,,
1988-11-16 00:00:00+00:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,272.11380526495907,246.87387784050964,45.93277186810948,0,hold,0,0,,0,,,
1988-11-17 00:00:00+00:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,272.0990849275504,247.08395950604333,46.78242488473248,0,hold,0,0,,0,,,
1988-11-18 00:00:00+00:00,254.9515991210937,254.9515991210937,254.9515991210937,254.95159912109372,0,0.0,0.0,272.0185037380664,247.35991117892576,43.81287794236587,0,hold,0,0,,0,,,
1988-11-21 00:00:00+00:00,253.97485351562503,253.97485351562503,253.97485351562503,253.974853515625,0,0.0,0.0,272.0185037380664,247.35991117892576,41.393519203672064,0,hold,0,0,,0,,,
1988-11-22 00:00:00+00:00,254.9515991210937,254.9515991210937,254.9515991210937,254.95159912109372,0,0.0,0.0,271.23243688844894,248.92743859983233,47.28363897430863,0,hold,0,0,,0,,,
1988-11-23 00:00:00+00:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,271.05539057482906,249.49521672497568,48.94203381134393,0,hold,0,0,,0,,,
1988-11-24 00:00:00+00:00,256.9052124023437,256.9052124023437,256.9052124023437,256.9052124023437,0,0.0,0.0,271.0423493018818,249.31288751452442,44.95247862042555,0,hold,0,0,,0,,,
1988-11-25 00:00:00+00:00,247.13699340820312,247.13699340820312,247.13699340820312,247.13699340820312,0,0.0,0.0,271.4615146433495,247.23311426290056,24.520272086443555,0,hold,0,0,,0,,,
1988-11-28 00:00:00+00:00,239.32232666015625,239.32232666015625,239.32232666015625,239.32232666015625,0,0.0,0.0,272.0645618360582,243.69958306140276,15.16605869635589,0,hold,0,0,,0,,,
1988-11-29 00:00:00+00:00,237.3687438964844,237.3687438964844,237.3687438964844,237.3687438964844,0,0.0,0.0,272.20751291420453,240.43078969810009,14.154426884483698,0,hold,0,0,,0,,,
1988-11-30 00:00:00+00:00,238.345703125,238.345703125,238.345703125,238.345703125,0,0.0,0.0,271.861012955521,237.94451682963523,17.405540435327225,0,hold,0,0,,0,,,
1988-12-01 00:00:00+00:00,234.438232421875,234.438232421875,234.438232421875,234.438232421875,0,0.0,0.0,271.1371450159246,235.24949133661445,13.822539237805827,0,hold,0,0,,0,,,
1988-12-02 00:00:00+00:00,223.6931915283203,223.6931915283203,223.6931915283203,223.6931915283203,0,0.0,0.0,271.6396389741285,230.2535998564379,9.900628010675945,0,hold,0,0,,0,,,
1988-12-05 00:00:00+00:00,224.6700897216797,224.6700897216797,224.6700897216797,224.6700897216797,0,0.0,0.0,271.7586338684712,226.22730668328668,12.726606671681395,0,hold,0,0,,0,,,
1988-12-06 00:00:00+00:00,228.5772705078125,228.5772705078125,228.5772705078125,228.5772705078125,0,0.0,0.0,270.9513325191311,223.71339831582986,22.357176892591227,0,hold,0,0,,0,,,
1988-12-07 00:00:00+00:00,231.50773620605472,231.50773620605472,231.50773620605472,231.5077362060547,0,0.0,0.0,269.7623041485525,222.06962791931858,28.969658124976206,0,hold,0,0,,0,,,
1988-12-08 00:00:00+00:00,223.6931915283203,223.6931915283203,223.6931915283203,223.6931915283203,0,0.0,0.0,269.3996504715846,219.1110795088841,23.85522681397785,0,hold,0,0,,0,,,
1988-12-09 00:00:00+00:00,215.87857055664065,215.87857055664065,215.87857055664065,215.87857055664065,0,0.0,0.0,269.4886073588354,214.91945843706304,19.750485324552514,0,hold,0,0,,0,,,
1988-12-12 00:00:00+00:00,206.11029052734372,206.11029052734372,206.11029052734372,206.11029052734372,0,0.0,0.0,270.7038305581168,208.91777893895352,16.244210854710346,0,hold,0,0,,0,,,
1988-12-13 00:00:00+00:00,210.9944000244141,210.9944000244141,210.9944000244141,210.9944000244141,0,0.0,0.0,270.2479575261191,205.07560662183016,24.03666036324576,0,hold,0,0,,0,,,
1988-12-14 00:00:00+00:00,210.9944000244141,210.9944000244141,210.9944000244141,210.9944000244141,0,0.0,0.0,268.6671233440134,202.06535956614286,22.985035812412107,0,hold,0,0,,0,,,
1988-12-15 00:00:00+00:00,219.78587341308597,219.78587341308597,219.78587341308597,219.78587341308597,0,0.0,0.0,265.92839291310736,201.0921560981231,35.65537265591031,0,hold,0,0,,0,,,
1988-12-16 00:00:00+00:00,220.7627410888672,220.7627410888672,220.7627410888672,220.7627410888672,0,0.0,0.0,263.1025801547743,200.49908305323353,37.2241130396479,0,hold,0,0,,0,,,
1988-12-19 00:00:00+00:00,219.78587341308597,219.78587341308597,219.78587341308597,219.78587341308597,0,0.0,0.0,260.06879064643226,200.11397455132166,36.630274122471455,0,hold,0,0,,0,,,
1988-12-20 00:00:00+00:00,222.7163543701172,222.7163543701172,222.7163543701172,222.7163543701172,0,0.0,0.0,256.32788814187023,200.63135258078606,40.309312291781204,0,hold,0,0,,0,,,
1988-12-21 00:00:00+00:00,225.64680480957028,225.64680480957028,225.64680480957028,225.6468048095703,0,0.0,0.0,251.5288362184736,202.3045637449053,43.54956742857508,0,hold,0,0,,0,,,
1988-12-22 00:00:00+00:00,228.5772705078125,228.5772705078125,228.5772705078125,228.5772705078125,0,0.0,0.0,245.95566528101315,205.04494049291262,47.18792111439101,0,hold,0,0,,0,,,
1988-12-23 00:00:00+00:00,231.50773620605472,231.50773620605472,231.50773620605472,231.5077362060547,0,0.0,0.0,242.87283929807109,206.56484075563986,53.23166079663096,0,hold,0,0,,0,,,
1988-12-26 00:00:00+00:00,231.50773620605472,231.50773620605472,231.50773620605472,231.5077362060547,0,0.0,0.0,241.51887747936803,207.13734352893277,55.712391194746104,0,hold,0,0,,0,,,
1988-12-27 00:00:00+00:00,231.50773620605472,231.50773620605472,231.50773620605472,231.5077362060547,0,0.0,0.0,240.5116112233641,207.5585090158937,56.42025652896258,0,hold,0,0,,0,,,
1988-12-28 00:00:00+00:00,233.46131896972656,233.46131896972656,233.46131896972656,233.46131896972656,0,0.0,0.0,239.54044835854813,208.04123346518236,58.62929545534202,0,hold,0,0,,0,,,
1988-12-29 00:00:00+00:00,235.41510009765625,235.41510009765625,235.41510009765625,235.41510009765625,0,0.0,0.0,239.7265305261134,207.9528380651952,62.68155987611101,0,hold,0,0,,0,,,
1988-12-30 00:00:00+00:00,232.4845428466797,232.4845428466797,232.4845428466797,232.4845428466797,0,0.0,0.0,240.60596091200546,207.9525428111391,61.68903060949783,0,hold,0,0,,0,,,
