time,open,high,low,close,volume,dividends,stock splits,bb_bbh,bb_bbl,rsi,signal,action,position,Trade P/L,Brokerage Cost,Total profit,Executed price,Take Profit,Stop Loss
1988-07-29 00:00:00+01:00,39.8256950378418,39.8256950378418,39.8256950378418,39.8256950378418,0,0.0,0.0,41.97170733214052,38.703797733777456,36.32987152683609,0,hold,0,0,,0,,,
1988-08-01 00:00:00+01:00,40.280860900878906,40.280860900878906,40.280860900878906,40.280860900878906,0,0.0,0.0,41.66629559643106,38.827150753666594,46.67083384431242,0,hold,0,0,,0,,,
1988-08-02 00:00:00+01:00,40.50845336914063,40.50845336914063,40.50845336914063,40.50845336914063,0,0.0,0.0,41.46425590535806,38.91540336588217,51.422523543046516,0,hold,0,0,,0,,,
1988-08-03 00:00:00+01:00,41.873870849609375,41.873870849609375,41.873870849609375,41.873870849609375,0,0.0,0.0,41.633280167163704,38.8146503595697,67.07664087188533,0,hold,0,0,,0,,,
1988-08-04 00:00:00+01:00,42.10144805908203,42.10144805908203,42.10144805908203,42.10144805908203,0,0.0,0.0,41.849282929577974,38.689676573595854,68.75006046285749,0,hold,0,0,,0,,,
1988-08-05 00:00:00+01:00,41.41875076293945,41.41875076293945,41.41875076293945,41.41875076293945,0,0.0,0.0,41.89005998462665,38.671658765373344,59.05325565259653,0,hold,0,0,,0,,,
1988-08-08 00:00:00+01:00,40.50845336914063,40.50845336914063,40.50845336914063,40.50845336914063,0,0.0,0.0,41.84069312185044,38.67551247507338,49.581599104922645,0,hold,0,0,,0,,,
1988-08-09 00:00:00+01:00,40.50845336914063,40.50845336914063,40.50845336914063,40.50845336914063,0,0.0,0.0,41.84069312185045,38.675512475073376,50.63468750117416,0,hold,0,0,,0,,,
1988-08-10 00:00:00+01:00,39.8256950378418,39.8256950378418,39.8256950378418,39.8256950378418,0,0.0,0.0,41.82902329355381,38.64166571706631,44.43108070561084,0,hold,0,0,,0,,,
1988-08-11 00:00:00+01:00,39.8256950378418,39.8256950378418,39.8256950378418,39.8256950378418,0,0.0,0.0,41.79926645547331,38.60314672201692,43.823890117472345,0,hold,0,0,,0,,,
1988-08-12 00:00:00+01:00,40.50845336914063,40.50845336914063,40.50845336914063,40.50845336914063,0,0.0,0.0,41.8290232935538,38.64166571706632,52.99923167153587,0,hold,0,0,,0,,,
