<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.07	22:00:00	1.31202	1.31232	1.31163	1.31178	1398	0	1
2020.01.07	23:00:00	1.31179	1.31212	1.31135	1.31203	1086	0	3
2020.01.08	00:00:00	1.31180	1.31263	1.31089	1.31154	1306	0	15
2020.01.08	01:00:00	1.31178	1.31193	1.31048	1.31134	1113	0	1
2020.01.08	02:00:00	1.31134	1.31194	1.31065	1.31115	2663	0	1
2020.01.08	03:00:00	1.31115	1.31211	1.31109	1.31169	2777	0	1
2020.01.08	04:00:00	1.31169	1.31398	1.31168	1.31329	2673	0	1
2020.01.08	05:00:00	1.31329	1.31390	1.31237	1.31307	1790	0	1
2020.01.08	06:00:00	1.31307	1.31342	1.31183	1.31207	1300	0	1
2020.01.08	07:00:00	1.31207	1.31242	1.31158	1.31175	1628	0	1
2020.01.08	08:00:00	1.31175	1.31337	1.31174	1.31294	1503	0	3
2020.01.08	09:00:00	1.31303	1.31620	1.31264	1.31522	2997	0	1
2020.01.08	10:00:00	1.31522	1.31694	1.31387	1.31658	4324	0	1
2020.01.08	11:00:00	1.31659	1.31692	1.31100	1.31199	3254	0	1
2020.01.08	12:00:00	1.31200	1.31357	1.30912	1.31199	4305	0	1
2020.01.08	13:00:00	1.31199	1.31243	1.30988	1.31087	3232	0	0
2020.01.08	14:00:00	1.31087	1.31194	1.30801	1.30927	4085	0	0
2020.01.08	15:00:00	1.30927	1.31248	1.30860	1.31218	3766	0	0
2020.01.08	16:00:00	1.31218	1.31390	1.31194	1.31248	3418	0	2
2020.01.08	17:00:00	1.31247	1.31334	1.30870	1.31002	3402	0	0
2020.01.08	18:00:00	1.30997	1.31086	1.30826	1.31084	4530	0	0
2020.01.08	19:00:00	1.31084	1.31168	1.31012	1.31047	3758	0	1
2020.01.08	20:00:00	1.31048	1.31060	1.30961	1.31030	1750	0	0
2020.01.08	21:00:00	1.31030	1.31032	1.30973	1.31008	2728	0	4
2020.01.08	22:00:00	1.31007	1.31030	1.30974	1.30977	1817	0	2
2020.01.08	23:00:00	1.30977	1.30990	1.30917	1.30938	1141	0	2
2020.01.09	00:00:00	1.30937	1.31015	1.30935	1.30985	557	0	4
2020.01.09	01:00:00	1.30987	1.31053	1.30956	1.31049	848	0	1
2020.01.09	02:00:00	1.31049	1.31119	1.31030	1.31091	1868	0	1
2020.01.09	03:00:00	1.31090	1.31140	1.31041	1.31117	1945	0	1
2020.01.09	04:00:00	1.31117	1.31120	1.31041	1.31087	949	0	1
2020.01.09	05:00:00	1.31087	1.31113	1.31057	1.31060	888	0	1
2020.01.09	06:00:00	1.31060	1.31090	1.31045	1.31087	672	0	1
2020.01.09	07:00:00	1.31087	1.31187	1.31082	1.31165	905	0	2
2020.01.09	08:00:00	1.31161	1.31234	1.31077	1.31105	1446	0	1
2020.01.09	09:00:00	1.31104	1.31184	1.31010	1.31138	2330	0	0
2020.01.09	10:00:00	1.31138	1.31138	1.30850	1.30875	3502	0	1
2020.01.09	11:00:00	1.30872	1.30912	1.30174	1.30274	6370	0	0
2020.01.09	12:00:00	1.30272	1.30433	1.30191	1.30426	4090	0	0
2020.01.09	13:00:00	1.30425	1.30512	1.30134	1.30192	3540	0	0
2020.01.09	14:00:00	1.30192	1.30407	1.30130	1.30373	4686	0	0
2020.01.09	15:00:00	1.30373	1.30690	1.30220	1.30520	3762	0	0
2020.01.09	16:00:00	1.30521	1.30581	1.30369	1.30490	3249	0	1
2020.01.09	17:00:00	1.30490	1.30539	1.30331	1.30483	2743	0	1
2020.01.09	18:00:00	1.30482	1.30686	1.30433	1.30681	3165	0	1
2020.01.09	19:00:00	1.30681	1.30686	1.30606	1.30613	1706	0	0
2020.01.09	20:00:00	1.30612	1.30638	1.30549	1.30554	3346	0	1
2020.01.09	21:00:00	1.30554	1.30592	1.30540	1.30569	1431	0	0
2020.01.09	22:00:00	1.30570	1.30672	1.30569	1.30662	1618	0	0
2020.01.09	23:00:00	1.30662	1.30676	1.30624	1.30659	504	0	0
2020.01.10	00:00:00	1.30659	1.30681	1.30634	1.30672	362	0	11
2020.01.10	01:00:00	1.30674	1.30709	1.30661	1.30694	844	0	2
2020.01.10	02:00:00	1.30695	1.30725	1.30654	1.30678	1416	0	0
2020.01.10	03:00:00	1.30678	1.30693	1.30597	1.30631	1253	0	1
2020.01.10	04:00:00	1.30631	1.30667	1.30601	1.30656	1077	0	0
2020.01.10	05:00:00	1.30656	1.30688	1.30650	1.30681	719	0	1
2020.01.10	06:00:00	1.30681	1.30818	1.30663	1.30762	1134	0	1
2020.01.10	07:00:00	1.30762	1.30833	1.30725	1.30822	977	0	2
2020.01.10	08:00:00	1.30823	1.30914	1.30802	1.30843	1028	0	1
2020.01.10	09:00:00	1.30844	1.30867	1.30551	1.30596	1871	0	1
2020.01.10	10:00:00	1.30596	1.30716	1.30480	1.30665	3020	0	0
2020.01.10	11:00:00	1.30664	1.30879	1.30505	1.30676	4237	0	0
2020.01.10	12:00:00	1.30679	1.30724	1.30500	1.30560	3371	0	0
2020.01.10	13:00:00	1.30558	1.30802	1.30538	1.30735	2667	0	1
2020.01.10	14:00:00	1.30735	1.30880	1.30718	1.30843	2310	0	1
2020.01.10	15:00:00	1.30837	1.30967	1.30648	1.30692	4035	0	1
2020.01.10	16:00:00	1.30692	1.30732	1.30553	1.30650	3730	0	0
2020.01.10	17:00:00	1.30648	1.30779	1.30568	1.30603	3860	0	0
2020.01.10	18:00:00	1.30605	1.30624	1.30422	1.30587	3321	0	0
2020.01.10	19:00:00	1.30587	1.30696	1.30512	1.30616	2394	0	0
2020.01.10	20:00:00	1.30612	1.30634	1.30541	1.30551	1208	0	2
2020.01.10	21:00:00	1.30551	1.30628	1.30534	1.30619	1320	0	0
2020.01.10	22:00:00	1.30618	1.30622	1.30535	1.30561	1462	0	1
2020.01.10	23:00:00	1.30556	1.30641	1.30535	1.30637	926	0	1
2020.01.13	00:00:00	1.30364	1.30419	1.30324	1.30351	585	0	6
2020.01.13	01:00:00	1.30358	1.30444	1.30334	1.30432	776	0	2
2020.01.13	02:00:00	1.30432	1.30453	1.30356	1.30367	927	0	0
2020.01.13	03:00:00	1.30367	1.30390	1.30320	1.30388	1001	0	1
2020.01.13	04:00:00	1.30388	1.30390	1.30327	1.30342	857	0	2
2020.01.13	05:00:00	1.30342	1.30400	1.30309	1.30389	1002	0	1
2020.01.13	06:00:00	1.30389	1.30411	1.30358	1.30359	1078	0	3
2020.01.13	07:00:00	1.30359	1.30361	1.30250	1.30327	1029	0	1
2020.01.13	08:00:00	1.30327	1.30328	1.30217	1.30270	1214	0	1
2020.01.13	09:00:00	1.30266	1.30269	1.29951	1.30009	2961	0	0
2020.01.13	10:00:00	1.30005	1.30079	1.29851	1.30013	3334	0	0
2020.01.13	11:00:00	1.30012	1.30078	1.29650	1.29726	4334	0	0
2020.01.13	12:00:00	1.29726	1.29935	1.29610	1.29844	2931	0	0
2020.01.13	13:00:00	1.29844	1.29888	1.29648	1.29648	2688	0	0
2020.01.13	14:00:00	1.29648	1.29797	1.29609	1.29759	2882	0	0
2020.01.13	15:00:00	1.29760	1.29924	1.29704	1.29840	3197	0	1
2020.01.13	16:00:00	1.29839	1.29989	1.29808	1.29946	3644	0	1
2020.01.13	17:00:00	1.29948	1.29948	1.29745	1.29781	3376	0	0
2020.01.13	18:00:00	1.29780	1.29909	1.29750	1.29830	2286	0	0
2020.01.13	19:00:00	1.29830	1.29971	1.29788	1.29951	1848	0	0
2020.01.13	20:00:00	1.29951	1.29972	1.29900	1.29960	1553	0	3
2020.01.13	21:00:00	1.29960	1.30009	1.29938	1.29981	1338	0	2
2020.01.13	22:00:00	1.29980	1.30031	1.29947	1.29950	1530	0	0
2020.01.13	23:00:00	1.29950	1.29952	1.29853	1.29867	1093	0	0
2020.01.14	00:00:00	1.29867	1.29938	1.29843	1.29882	1616	0	13
2020.01.14	01:00:00	1.29884	1.29933	1.29859	1.29860	877	0	1
2020.01.14	02:00:00	1.29860	1.29958	1.29860	1.29942	1206	0	1
2020.01.14	03:00:00	1.29942	1.30004	1.29882	1.29912	1787	0	1
2020.01.14	04:00:00	1.29913	1.30023	1.29880	1.29981	1180	0	0
2020.01.14	05:00:00	1.29981	1.29998	1.29901	1.29902	902	0	1
2020.01.14	06:00:00	1.29902	1.29958	1.29893	1.29942	928	0	2
2020.01.14	07:00:00	1.29942	1.29956	1.29882	1.29886	688	0	1
2020.01.14	08:00:00	1.29892	1.29939	1.29867	1.29873	1059	0	0
2020.01.14	09:00:00	1.29874	1.29878	1.29648	1.29782	2610	0	1
2020.01.14	10:00:00	1.29787	1.29828	1.29541	1.29707	3412	0	0
2020.01.14	11:00:00	1.29707	1.29735	1.29625	1.29721	2421	0	0
2020.01.14	12:00:00	1.29721	1.29867	1.29670	1.29850	2069	0	0
2020.01.14	13:00:00	1.29850	1.30139	1.29786	1.29979	3746	0	0
2020.01.14	14:00:00	1.29979	1.30012	1.29731	1.29752	3286	0	0
2020.01.14	15:00:00	1.29750	1.29936	1.29733	1.29899	3912	0	1
2020.01.14	16:00:00	1.29899	1.30047	1.29872	1.30025	4739	0	0
2020.01.14	17:00:00	1.30022	1.30138	1.29932	1.30099	5270	0	0
2020.01.14	18:00:00	1.30099	1.30179	1.30001	1.30158	3143	0	0
2020.01.14	19:00:00	1.30158	1.30248	1.30133	1.30212	1921	0	2
2020.01.14	20:00:00	1.30212	1.30304	1.30212	1.30262	2099	0	0
2020.01.14	21:00:00	1.30269	1.30330	1.30253	1.30269	2015	0	1
2020.01.14	22:00:00	1.30268	1.30277	1.30203	1.30208	1760	0	0
2020.01.14	23:00:00	1.30208	1.30233	1.30156	1.30157	859	0	3
2020.01.15	00:00:00	1.30151	1.30209	1.30151	1.30204	626	0	19
2020.01.15	01:00:00	1.30205	1.30222	1.30181	1.30209	730	0	3
2020.01.15	02:00:00	1.30209	1.30244	1.30137	1.30179	1549	0	0
2020.01.15	03:00:00	1.30179	1.30240	1.30169	1.30234	1369	0	1
2020.01.15	04:00:00	1.30234	1.30241	1.30183	1.30215	1021	0	3
2020.01.15	05:00:00	1.30216	1.30246	1.30204	1.30239	781	0	1
2020.01.15	06:00:00	1.30248	1.30291	1.30244	1.30275	819	0	2
2020.01.15	07:00:00	1.30275	1.30333	1.30260	1.30322	1032	0	0
2020.01.15	08:00:00	1.30322	1.30423	1.30279	1.30329	1521	0	1
2020.01.15	09:00:00	1.30328	1.30368	1.30166	1.30201	1816	0	0
2020.01.15	10:00:00	1.30201	1.30203	1.30006	1.30169	3252	0	0
2020.01.15	11:00:00	1.30168	1.30206	1.29848	1.29915	3813	0	0
2020.01.15	12:00:00	1.29915	1.30080	1.29877	1.30070	2326	0	0
2020.01.15	13:00:00	1.30066	1.30291	1.30041	1.30146	3327	0	0
2020.01.15	14:00:00	1.30146	1.30151	1.30000	1.30058	2836	0	0
2020.01.15	15:00:00	1.30058	1.30106	1.30004	1.30083	3982	0	0
2020.01.15	16:00:00	1.30083	1.30358	1.30071	1.30311	3956	0	0
2020.01.15	17:00:00	1.30311	1.30311	1.30093	1.30223	3604	0	0
2020.01.15	18:00:00	1.30224	1.30290	1.30197	1.30277	2916	0	0
2020.01.15	19:00:00	1.30277	1.30378	1.30269	1.30329	2554	0	0
2020.01.15	20:00:00	1.30329	1.30393	1.30266	1.30277	1907	0	1
2020.01.15	21:00:00	1.30274	1.30326	1.30241	1.30251	1857	0	1
2020.01.15	22:00:00	1.30251	1.30316	1.30226	1.30304	1150	0	1
2020.01.15	23:00:00	1.30304	1.30384	1.30272	1.30373	1142	0	1
2020.01.16	00:00:00	1.30373	1.30570	1.30359	1.30447	659	0	6
2020.01.16	01:00:00	1.30448	1.30471	1.30373	1.30393	2042	0	1
2020.01.16	02:00:00	1.30394	1.30470	1.30373	1.30414	1447	0	1
2020.01.16	03:00:00	1.30415	1.30442	1.30396	1.30439	1193	0	3
2020.01.16	04:00:00	1.30439	1.30452	1.30399	1.30443	877	0	4
2020.01.16	05:00:00	1.30440	1.30506	1.30427	1.30466	1021	0	1
2020.01.16	06:00:00	1.30466	1.30521	1.30452	1.30471	1446	0	1
2020.01.16	07:00:00	1.30471	1.30517	1.30461	1.30482	926	0	0
2020.01.16	08:00:00	1.30482	1.30486	1.30349	1.30406	1235	0	2
2020.01.16	09:00:00	1.30398	1.30481	1.30341	1.30369	1888	0	1
2020.01.16	10:00:00	1.30369	1.30647	1.30251	1.30505	4007	0	1
2020.01.16	11:00:00	1.30505	1.30621	1.30467	1.30534	2785	0	1
2020.01.16	12:00:00	1.30537	1.30641	1.30488	1.30614	2353	0	1
2020.01.16	13:00:00	1.30614	1.30640	1.30517	1.30603	2023	0	1
2020.01.16	14:00:00	1.30603	1.30745	1.30577	1.30655	2851	0	1
2020.01.16	15:00:00	1.30652	1.30708	1.30489	1.30493	3699	0	1
2020.01.16	16:00:00	1.30490	1.30597	1.30425	1.30501	4405	0	0
2020.01.16	17:00:00	1.30499	1.30703	1.30316	1.30632	5222	0	1
2020.01.16	18:00:00	1.30630	1.30813	1.30578	1.30761	4576	0	0
2020.01.16	19:00:00	1.30761	1.30829	1.30676	1.30739	2383	0	1
2020.01.16	20:00:00	1.30739	1.30779	1.30625	1.30651	1949	0	0
2020.01.16	21:00:00	1.30652	1.30681	1.30630	1.30671	1294	0	2
2020.01.16	22:00:00	1.30672	1.30773	1.30668	1.30751	1178	0	1
2020.01.16	23:00:00	1.30750	1.30788	1.30719	1.30778	768	0	1
2020.01.17	00:00:00	1.30783	1.30787	1.30680	1.30755	693	0	2
2020.01.17	01:00:00	1.30755	1.30794	1.30740	1.30762	541	0	1
2020.01.17	02:00:00	1.30762	1.30781	1.30713	1.30753	1029	0	1
2020.01.17	03:00:00	1.30752	1.30770	1.30638	1.30671	946	0	1
2020.01.17	04:00:00	1.30674	1.30801	1.30674	1.30745	1342	0	1
2020.01.17	05:00:00	1.30745	1.30753	1.30722	1.30743	776	0	4
2020.01.17	06:00:00	1.30743	1.30753	1.30689	1.30710	642	0	1
2020.01.17	07:00:00	1.30710	1.30751	1.30690	1.30743	586	0	3
2020.01.17	08:00:00	1.30742	1.30902	1.30723	1.30878	1310	0	1
2020.01.17	09:00:00	1.30878	1.30894	1.30748	1.30811	2166	0	1
2020.01.17	10:00:00	1.30824	1.31001	1.30768	1.30933	3429	0	0
2020.01.17	11:00:00	1.30932	1.31187	1.30399	1.30552	5594	0	0
2020.01.17	12:00:00	1.30548	1.30664	1.30401	1.30458	3284	0	0
2020.01.17	13:00:00	1.30458	1.30458	1.30263	1.30361	3834	0	1
2020.01.17	14:00:00	1.30361	1.30596	1.30323	1.30514	3209	0	0
2020.01.17	15:00:00	1.30513	1.30558	1.30443	1.30449	3846	0	2
2020.01.17	16:00:00	1.30448	1.30483	1.30262	1.30319	3150	0	0
2020.01.17	17:00:00	1.30312	1.30325	1.30159	1.30299	4242	0	0
2020.01.17	18:00:00	1.30300	1.30321	1.30188	1.30280	2340	0	0
2020.01.17	19:00:00	1.30280	1.30293	1.30174	1.30238	1279	0	2
2020.01.17	20:00:00	1.30236	1.30243	1.30170	1.30181	1060	0	1
2020.01.17	21:00:00	1.30181	1.30216	1.30137	1.30170	1292	0	3
2020.01.17	22:00:00	1.30169	1.30202	1.30128	1.30151	1160	0	2
2020.01.17	23:00:00	1.30151	1.30151	1.30076	1.30094	914	0	0
2020.01.20	00:00:00	1.29985	1.30050	1.29950	1.29999	421	0	12
2020.01.20	01:00:00	1.30000	1.30073	1.29993	1.30052	637	0	1
2020.01.20	02:00:00	1.30052	1.30088	1.29990	1.29997	795	0	1
2020.01.20	03:00:00	1.29997	1.30050	1.29987	1.30009	749	0	3
2020.01.20	04:00:00	1.30009	1.30039	1.29996	1.30032	689	0	6
2020.01.20	05:00:00	1.30032	1.30058	1.30012	1.30037	567	0	4
2020.01.20	06:00:00	1.30037	1.30045	1.30003	1.30009	363	0	4
2020.01.20	07:00:00	1.30009	1.30019	1.29933	1.29939	692	0	2
2020.01.20	08:00:00	1.29940	1.29968	1.29856	1.29951	829	0	4
2020.01.20	09:00:00	1.29951	1.30008	1.29746	1.29765	1697	0	1
2020.01.20	10:00:00	1.29765	1.29850	1.29698	1.29735	2396	0	1
2020.01.20	11:00:00	1.29734	1.29841	1.29618	1.29839	2463	0	1
2020.01.20	12:00:00	1.29839	1.29909	1.29768	1.29850	1781	0	1
2020.01.20	13:00:00	1.29850	1.30033	1.29828	1.29974	2436	0	0
2020.01.20	14:00:00	1.29970	1.29970	1.29852	1.29908	1760	0	2
2020.01.20	15:00:00	1.29905	1.30082	1.29877	1.30007	2290	0	1
2020.01.20	16:00:00	1.30014	1.30015	1.29898	1.29977	1499	0	0
2020.01.20	17:00:00	1.29976	1.29985	1.29823	1.29962	2061	0	1
2020.01.20	18:00:00	1.29968	1.30003	1.29949	1.29961	1769	0	1
2020.01.20	19:00:00	1.29961	1.30023	1.29960	1.29994	902	0	0
2020.01.20	20:00:00	1.29994	1.29997	1.29969	1.29974	640	0	0
2020.01.20	21:00:00	1.29974	1.30037	1.29968	1.30024	649	0	5
2020.01.20	22:00:00	1.30024	1.30072	1.30010	1.30063	1031	0	2
2020.01.20	23:00:00	1.30063	1.30137	1.30047	1.30076	1613	0	1
2020.01.21	00:00:00	1.30075	1.30111	1.30053	1.30065	475	0	18
2020.01.21	01:00:00	1.30067	1.30085	1.30022	1.30037	550	0	1
2020.01.21	02:00:00	1.30037	1.30044	1.29982	1.29982	582	0	3
2020.01.21	03:00:00	1.29982	1.30008	1.29949	1.30004	1126	0	1
2020.01.21	04:00:00	1.30004	1.30059	1.29985	1.30048	793	0	3
2020.01.21	05:00:00	1.30048	1.30139	1.30039	1.30130	1393	0	2
2020.01.21	06:00:00	1.30130	1.30138	1.30082	1.30134	1088	0	2
2020.01.21	07:00:00	1.30134	1.30212	1.30125	1.30125	655	0	1
2020.01.21	08:00:00	1.30125	1.30155	1.30051	1.30052	838	0	1
2020.01.21	09:00:00	1.30052	1.30093	1.30009	1.30061	1576	0	2
2020.01.21	10:00:00	1.30062	1.30211	1.29954	1.30124	3094	0	0
2020.01.21	11:00:00	1.30124	1.30448	1.30077	1.30399	3295	0	0
2020.01.21	12:00:00	1.30399	1.30505	1.30348	1.30373	2517	0	0
2020.01.21	13:00:00	1.30373	1.30629	1.30373	1.30587	2442	0	0
2020.01.21	14:00:00	1.30581	1.30638	1.30459	1.30489	2047	0	0
2020.01.21	15:00:00	1.30489	1.30832	1.30483	1.30731	3137	0	0
2020.01.21	16:00:00	1.30731	1.30731	1.30515	1.30606	2655	0	1
2020.01.21	17:00:00	1.30607	1.30632	1.30468	1.30572	4270	0	0
2020.01.21	18:00:00	1.30576	1.30632	1.30392	1.30453	3025	0	0
2020.01.21	19:00:00	1.30461	1.30489	1.30414	1.30456	1893	0	1
2020.01.21	20:00:00	1.30456	1.30606	1.30454	1.30547	2110	0	0
2020.01.21	21:00:00	1.30547	1.30557	1.30483	1.30498	1817	0	3
2020.01.21	22:00:00	1.30498	1.30504	1.30424	1.30433	2027	0	0
2020.01.21	23:00:00	1.30432	1.30515	1.30382	1.30472	1329	0	0
2020.01.22	00:00:00	1.30473	1.30474	1.30400	1.30458	630	0	24
2020.01.22	01:00:00	1.30458	1.30473	1.30445	1.30455	1825	0	4
2020.01.22	02:00:00	1.30455	1.30538	1.30455	1.30498	1650	0	1
2020.01.22	03:00:00	1.30497	1.30526	1.30447	1.30480	1664	0	1
2020.01.22	04:00:00	1.30480	1.30493	1.30411	1.30415	1754	0	4
2020.01.22	05:00:00	1.30415	1.30439	1.30345	1.30373	1472	0	2
2020.01.22	06:00:00	1.30374	1.30432	1.30364	1.30432	732	0	1
2020.01.22	07:00:00	1.30432	1.30613	1.30432	1.30575	1715	0	0
2020.01.22	08:00:00	1.30576	1.30677	1.30511	1.30633	1806	0	0
2020.01.22	09:00:00	1.30630	1.30633	1.30459	1.30546	2701	0	0
2020.01.22	10:00:00	1.30546	1.30561	1.30373	1.30533	2920	0	2
2020.01.22	11:00:00	1.30532	1.30629	1.30408	1.30609	3330	0	0
2020.01.22	12:00:00	1.30608	1.30690	1.30554	1.30609	3735	0	0
2020.01.22	13:00:00	1.30609	1.31004	1.30598	1.30948	5886	0	0
2020.01.22	14:00:00	1.30948	1.31263	1.30948	1.31209	5195	0	0
2020.01.22	15:00:00	1.31209	1.31353	1.31187	1.31303	4704	0	0
2020.01.22	16:00:00	1.31303	1.31527	1.31266	1.31273	4729	0	0
2020.01.22	17:00:00	1.31256	1.31455	1.31205	1.31406	5589	0	0
