,date,time,open,high,low,close,action,P/L,Total profit
0,2020.01.02,06:00:00,1.3209,1.3217700000000001,1.32033,1.3207,,,
1,2020.01.02,07:00:00,1.3207,1.3213700000000002,1.32021,1.32134,,,
2,2020.01.02,08:00:00,1.32134,1.32239,1.32061,1.32187,,,
3,2020.01.02,09:00:00,1.32198,1.3229,1.32095,1.32195,,,
4,2020.01.02,10:00:00,1.32195,1.32305,1.3209,1.32215,,,
5,2020.01.02,11:00:00,1.32213,1.32269,1.3209799999999998,1.32139,,,
6,2020.01.02,12:00:00,1.32139,1.32146,1.32049,1.32112,,,
7,2020.01.02,13:00:00,1.32111,1.32113,1.3188600000000001,1.31995,,,
8,2020.01.02,14:00:00,1.31995,1.32126,1.31905,1.31968,,,
9,2020.01.02,15:00:00,1.31968,1.31969,1.31712,1.31762,,,
10,2020.01.02,16:00:00,1.31762,1.31772,1.31351,1.31473,,,
11,2020.01.02,17:00:00,1.31472,1.3194299999999999,1.31454,1.3188799999999998,,,
12,2020.01.02,18:00:00,1.31889,1.31891,1.31233,1.3126799999999998,,,
13,2020.01.02,19:00:00,1.3126799999999998,1.31342,1.3115,1.31341,,,
14,2020.01.02,20:00:00,1.31341,1.31433,1.3124799999999999,1.31395,,,
15,2020.01.02,21:00:00,1.31395,1.31403,1.31279,1.31284,,,
16,2020.01.02,22:00:00,1.31284,1.31455,1.31283,1.3138299999999998,,,
17,2020.01.02,23:00:00,1.3138100000000001,1.31418,1.3134700000000001,1.3136299999999999,,,
18,2020.01.03,00:00:00,1.3136299999999999,1.31457,1.31342,1.31371,,,
19,2020.01.03,01:00:00,1.31371,1.31479,1.31329,1.31466,,,
20,2020.01.03,02:00:00,1.31465,1.31566,1.31395,1.31549,,,
21,2020.01.03,03:00:00,1.31549,1.31599,1.31345,1.31376,,,
22,2020.01.03,04:00:00,1.31376,1.31435,1.3123200000000002,1.31273,,,
23,2020.01.03,05:00:00,1.31275,1.31378,1.31263,1.31355,,,
24,2020.01.03,06:00:00,1.31355,1.31372,1.31244,1.31257,,,
25,2020.01.03,07:00:00,1.31257,1.3128799999999998,1.31156,1.31211,,,
26,2020.01.03,08:00:00,1.31211,1.3123799999999999,1.3105,1.31234,,,
27,2020.01.03,09:00:00,1.3123200000000002,1.31233,1.30827,1.30908,,,
28,2020.01.03,10:00:00,1.30908,1.31174,1.30863,1.30976,,,
29,2020.01.03,11:00:00,1.30976,1.31007,1.3066200000000001,1.3067600000000001,hold,0,0
30,2020.01.03,12:00:00,1.3067600000000001,1.3087799999999998,1.3067600000000001,1.30778,hold,0,0
31,2020.01.03,13:00:00,1.30778,1.30784,1.30532,1.3058100000000001,hold,0,0
32,2020.01.03,14:00:00,1.3058100000000001,1.30821,1.3053700000000001,1.30798,hold,0,0
33,2020.01.03,15:00:00,1.30798,1.3109600000000001,1.30718,1.30723,hold,0,0
34,2020.01.03,16:00:00,1.30721,1.30895,1.3066,1.30691,hold,0,0
35,2020.01.03,17:00:00,1.30729,1.3094,1.30685,1.30713,hold,0,0
36,2020.01.03,18:00:00,1.30713,1.30987,1.30691,1.30895,hold,0,0
37,2020.01.03,19:00:00,1.30895,1.30936,1.3080100000000001,1.30879,hold,0,0
38,2020.01.03,20:00:00,1.30879,1.30898,1.3072700000000002,1.30825,hold,0,0
39,2020.01.03,21:00:00,1.30834,1.30844,1.3074299999999999,1.3078299999999998,hold,0,0
40,2020.01.03,22:00:00,1.3078299999999998,1.30788,1.3071700000000002,1.3073,hold,0,0
41,2020.01.03,23:00:00,1.3072700000000002,1.30767,1.30706,1.3074299999999999,hold,0,0
42,2020.01.06,00:00:00,1.3078100000000001,1.30854,1.30639,1.3068799999999998,hold,0,0
43,2020.01.06,01:00:00,1.3068799999999998,1.30846,1.30625,1.30767,hold,0,0
44,2020.01.06,02:00:00,1.30767,1.3088,1.30766,1.3080100000000001,hold,0,0
45,2020.01.06,03:00:00,1.3080100000000001,1.30816,1.3075299999999999,1.30787,hold,0,0
46,2020.01.06,04:00:00,1.30787,1.30877,1.30787,1.30871,hold,0,0
47,2020.01.06,05:00:00,1.30871,1.30902,1.30806,1.30816,hold,0,0
48,2020.01.06,06:00:00,1.30816,1.30865,1.30807,1.30835,hold,0,0
49,2020.01.06,07:00:00,1.30835,1.30854,1.30796,1.30809,hold,0,0
50,2020.01.06,08:00:00,1.30807,1.3083,1.30683,1.30824,hold,0,0
51,2020.01.06,09:00:00,1.3082200000000002,1.30944,1.30697,1.30726,hold,0,0
52,2020.01.06,10:00:00,1.3073,1.3108,1.30635,1.31051,hold,0,0
53,2020.01.06,11:00:00,1.31053,1.31484,1.3103,1.31428,hold,0,0
54,2020.01.06,12:00:00,1.31428,1.31729,1.31376,1.31521,hold,0,0
55,2020.01.06,13:00:00,1.31521,1.3174,1.3150600000000001,1.31564,hold,0,0
56,2020.01.06,14:00:00,1.3156299999999999,1.3156700000000001,1.3138299999999998,1.3138299999999998,hold,0,0
57,2020.01.06,15:00:00,1.31386,1.31485,1.31346,1.31402,hold,0,0
58,2020.01.06,16:00:00,1.3140100000000001,1.31607,1.3133,1.31362,hold,0,0
59,2020.01.06,17:00:00,1.31362,1.3162200000000002,1.31334,1.31585,hold,0,0
60,2020.01.06,18:00:00,1.31585,1.31694,1.3151700000000002,1.31623,hold,0,0
61,2020.01.06,19:00:00,1.31623,1.31741,1.31562,1.3159,hold,0,0
62,2020.01.06,20:00:00,1.31588,1.31673,1.31576,1.31576,hold,0,0
63,2020.01.06,21:00:00,1.31576,1.3163799999999999,1.31552,1.31627,hold,0,0
64,2020.01.06,22:00:00,1.31627,1.31673,1.31589,1.31669,hold,0,0
65,2020.01.06,23:00:00,1.3166200000000001,1.31682,1.3163799999999999,1.31682,hold,0,0
66,2020.01.07,00:00:00,1.31684,1.3178299999999998,1.31647,1.3174700000000001,hold,0,0
67,2020.01.07,01:00:00,1.3174700000000001,1.31754,1.3168,1.31705,hold,0,0
68,2020.01.07,02:00:00,1.31705,1.3176700000000001,1.3169,1.3173,hold,0,0
69,2020.01.07,03:00:00,1.3173,1.3177299999999998,1.3169799999999998,1.31715,hold,0,0
70,2020.01.07,04:00:00,1.31716,1.31724,1.3168600000000001,1.31697,hold,0,0
71,2020.01.07,05:00:00,1.31697,1.31758,1.3168799999999998,1.3173700000000002,hold,0,0
72,2020.01.07,06:00:00,1.3173700000000002,1.31752,1.31691,1.31708,hold,0,0
73,2020.01.07,07:00:00,1.31711,1.31726,1.3153299999999999,1.3154299999999999,hold,0,0
74,2020.01.07,08:00:00,1.3154700000000001,1.31626,1.31477,1.31552,hold,0,0
75,2020.01.07,09:00:00,1.3154700000000001,1.3161100000000001,1.31408,1.31434,hold,0,0
76,2020.01.07,10:00:00,1.31434,1.3211899999999999,1.31427,1.31881,hold,0,0
77,2020.01.07,11:00:00,1.31882,1.31968,1.31671,1.3173,hold,0,0
78,2020.01.07,12:00:00,1.31726,1.31738,1.3145200000000001,1.3160100000000001,hold,0,0
79,2020.01.07,13:00:00,1.3160100000000001,1.3164,1.3145200000000001,1.3146799999999998,hold,0,0
80,2020.01.07,14:00:00,1.3146799999999998,1.31477,1.3109899999999999,1.31205,hold,0,0
81,2020.01.07,15:00:00,1.31203,1.31231,1.31021,1.31179,short,0,0
82,2020.01.07,16:00:00,1.31178,1.31352,1.31051,1.3106200000000001,hold,0.0009699999999998934,0
83,2020.01.07,17:00:00,1.3106200000000001,1.31239,1.30948,1.3121200000000002,hold,-0.0005300000000001635,0
84,2020.01.07,18:00:00,1.3121200000000002,1.31325,1.31059,1.3125799999999999,hold,-0.0009899999999998465,0
85,2020.01.07,19:00:00,1.31257,1.3139299999999998,1.3122200000000002,1.31272,short_buy,-0.001,-0.001
86,2020.01.07,20:00:00,1.31272,1.31371,1.3124799999999999,1.3125200000000001,hold,0,-0.001
87,2020.01.07,21:00:00,1.31253,1.31271,1.31184,1.31203,hold,0,-0.001
88,2020.01.07,22:00:00,1.31202,1.3123200000000002,1.3116299999999999,1.31178,hold,0,-0.001
89,2020.01.07,23:00:00,1.31179,1.3121200000000002,1.31135,1.31203,hold,0,-0.001
90,2020.01.08,00:00:00,1.3118,1.31263,1.3108899999999999,1.31154,hold,0,-0.001
91,2020.01.08,01:00:00,1.31178,1.3119299999999998,1.3104799999999999,1.31134,hold,0,-0.001
92,2020.01.08,02:00:00,1.31134,1.3119399999999999,1.31065,1.31115,hold,0,-0.001
93,2020.01.08,03:00:00,1.31115,1.31211,1.3110899999999999,1.31169,hold,0,-0.001
94,2020.01.08,04:00:00,1.31169,1.31398,1.31168,1.31329,hold,0,-0.001
95,2020.01.08,05:00:00,1.31329,1.3139,1.31237,1.3130700000000002,hold,0,-0.001
96,2020.01.08,06:00:00,1.3130700000000002,1.31342,1.3118299999999998,1.31207,hold,0,-0.001
97,2020.01.08,07:00:00,1.31207,1.3124200000000001,1.31158,1.31175,hold,0,-0.001
98,2020.01.08,08:00:00,1.31175,1.3133700000000001,1.31174,1.31294,hold,0,-0.001
99,2020.01.08,09:00:00,1.31303,1.3162,1.31264,1.31522,hold,0,-0.001
100,2020.01.08,10:00:00,1.31522,1.31694,1.31387,1.3165799999999999,buy,0,-0.001
101,2020.01.08,11:00:00,1.31659,1.31692,1.311,1.31199,sell,-0.001,-0.002
102,2020.01.08,12:00:00,1.312,1.3135700000000001,1.30912,1.31199,hold,0,-0.002
103,2020.01.08,13:00:00,1.31199,1.31243,1.30988,1.31087,hold,0,-0.002
104,2020.01.08,14:00:00,1.31087,1.3119399999999999,1.3080100000000001,1.3092700000000002,short,0,-0.002
105,2020.01.08,15:00:00,1.3092700000000002,1.3124799999999999,1.3086,1.31218,short_buy,-0.001,-0.003
106,2020.01.08,16:00:00,1.31218,1.3139,1.3119399999999999,1.3124799999999999,hold,0,-0.003
107,2020.01.08,17:00:00,1.31247,1.31334,1.3087,1.31002,hold,0,-0.003
108,2020.01.08,18:00:00,1.30997,1.3108600000000001,1.30826,1.31084,hold,0,-0.003
109,2020.01.08,19:00:00,1.31084,1.31168,1.3101200000000002,1.31047,hold,0,-0.003
110,2020.01.08,20:00:00,1.3104799999999999,1.3106,1.30961,1.3103,hold,0,-0.003
111,2020.01.08,21:00:00,1.3103,1.3103200000000002,1.3097299999999998,1.31008,hold,0,-0.003
112,2020.01.08,22:00:00,1.31007,1.3103,1.30974,1.30977,hold,0,-0.003
113,2020.01.08,23:00:00,1.30977,1.3099,1.3091700000000002,1.30938,hold,0,-0.003
114,2020.01.09,00:00:00,1.3093700000000001,1.31015,1.30935,1.30985,hold,0,-0.003
115,2020.01.09,01:00:00,1.30987,1.31053,1.30956,1.31049,hold,0,-0.003
116,2020.01.09,02:00:00,1.31049,1.3111899999999999,1.3103,1.31091,hold,0,-0.003
117,2020.01.09,03:00:00,1.3109,1.3114,1.31041,1.3111700000000002,hold,0,-0.003
118,2020.01.09,04:00:00,1.3111700000000002,1.3112,1.31041,1.31087,hold,0,-0.003
119,2020.01.09,05:00:00,1.31087,1.31113,1.31057,1.3106,hold,0,-0.003
120,2020.01.09,06:00:00,1.3106,1.3109,1.31045,1.31087,hold,0,-0.003
