Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-01-03 01:00:00+00:00,2022-01-10 00:55:00+00:00,9,3,6,-0.0001299999999996729
2,2022-01-10 01:00:00+00:00,2022-01-17 00:55:00+00:00,6,2,4,-0.0012100000000000357
3,2022-01-17 01:00:00+00:00,2022-01-24 00:55:00+00:00,6,2,4,-0.0008199999999999232
4,2022-01-24 01:00:00+00:00,2022-01-31 00:55:00+00:00,6,4,2,0.01267999999999948
5,2022-01-31 01:00:00+00:00,2022-02-07 00:55:00+00:00,11,2,9,-0.011880000000000003
6,2022-02-07 01:00:00+00:00,2022-02-14 00:55:00+00:00,5,4,1,0.01499999999999989
7,2022-02-14 01:00:00+00:00,2022-02-21 00:55:00+00:00,10,3,7,-0.001979999999999668
8,2022-02-21 01:00:00+00:00,2022-02-28 00:55:00+00:00,16,7,9,0.010370000000000544
9,2022-02-28 01:00:00+00:00,2022-03-07 00:55:00+00:00,16,7,9,0.00281000000000009
10,2022-03-07 01:00:00+00:00,2022-03-14 00:55:00+00:00,16,6,10,-0.002509999999999235
11,2022-03-14 01:00:00+00:00,2022-03-21 00:55:00+00:00,17,4,13,-0.013389999999999992
12,2022-03-21 01:00:00+00:00,2022-03-28 00:55:00+00:00,7,4,3,0.009530000000000073
13,2022-03-28 01:00:00+00:00,2022-04-04 00:55:00+00:00,13,4,9,-0.0036499999999997715
14,2022-04-04 01:00:00+00:00,2022-04-11 00:55:00+00:00,10,5,5,0.008319999999999647
15,2022-04-11 01:00:00+00:00,2022-04-18 00:55:00+00:00,10,3,7,-0.004399999999999973
16,2022-04-18 01:00:00+00:00,2022-04-25 00:55:00+00:00,11,4,7,0.0009499999999998988
17,2022-04-25 01:00:00+00:00,2022-05-02 00:55:00+00:00,18,9,9,0.018980000000000146
18,2022-05-02 01:00:00+00:00,2022-05-09 00:55:00+00:00,16,7,9,0.0064500000000004
19,2022-05-09 01:00:00+00:00,2022-05-16 00:55:00+00:00,13,5,8,0.003530000000000637
20,2022-05-16 01:00:00+00:00,2022-05-23 00:55:00+00:00,13,3,10,-0.010510000000000304
21,2022-05-23 01:00:00+00:00,2022-05-30 00:55:00+00:00,17,2,15,-0.025410000000000578
22,2022-05-30 01:00:00+00:00,2022-06-06 00:55:00+00:00,12,4,8,-0.00042999999999990615
23,2022-06-06 01:00:00+00:00,2022-06-13 00:55:00+00:00,11,6,5,0.015520000000000096
24,2022-06-13 01:00:00+00:00,2022-06-20 00:55:00+00:00,19,7,12,-0.0012300000000000054
25,2022-06-20 01:00:00+00:00,2022-06-27 00:55:00+00:00,12,2,10,-0.015549999999999925
26,2022-06-27 01:00:00+00:00,2022-07-04 00:55:00+00:00,13,6,7,0.009370000000000479
27,2022-07-04 01:00:00+00:00,2022-07-11 00:55:00+00:00,13,5,8,0.0033300000000002147
28,2022-07-11 01:00:00+00:00,2022-07-18 00:55:00+00:00,18,6,12,-0.0017200000000002387
29,2022-07-18 01:00:00+00:00,2022-07-25 00:55:00+00:00,22,7,15,-0.005720000000001047
30,2022-07-25 01:00:00+00:00,2022-08-01 00:55:00+00:00,17,4,13,-0.01597999999999987
31,2022-08-01 01:00:00+00:00,2022-08-08 00:55:00+00:00,13,4,9,-0.0005099999999998621
32,2022-08-08 01:00:00+00:00,2022-08-15 00:55:00+00:00,10,3,7,-0.010069999999999819
33,2022-08-15 01:00:00+00:00,2022-08-22 00:55:00+00:00,6,4,2,0.011489999999999898
34,2022-08-22 01:00:00+00:00,2022-08-29 00:55:00+00:00,11,6,5,0.009139999999999931
35,2022-08-29 01:00:00+00:00,2022-09-05 00:55:00+00:00,17,6,11,7.000000000002837e-05
36,2022-09-05 01:00:00+00:00,2022-09-12 00:55:00+00:00,15,2,13,-0.025330000000000213
37,2022-09-12 01:00:00+00:00,2022-09-19 00:55:00+00:00,11,1,10,-0.017779999999999678
38,2022-09-19 01:00:00+00:00,2022-09-26 00:55:00+00:00,14,8,6,0.027679999999999885
39,2022-09-26 01:00:00+00:00,2022-10-03 00:55:00+00:00,22,7,15,0.0009899999999995997
40,2022-10-03 01:00:00+00:00,2022-10-10 00:55:00+00:00,18,7,11,0.003160000000000194
41,2022-10-10 01:00:00+00:00,2022-10-17 00:55:00+00:00,14,2,12,-0.021550000000000118
42,2022-10-17 01:00:00+00:00,2022-10-24 00:55:00+00:00,14,2,12,-0.020729999999999735
43,2022-10-24 01:00:00+00:00,2022-10-31 00:55:00+00:00,14,4,10,-0.007760000000000253
44,2022-10-31 01:00:00+00:00,2022-11-07 00:55:00+00:00,21,5,16,-0.015540000000000088
45,2022-11-07 01:00:00+00:00,2022-11-14 00:55:00+00:00,16,4,12,-0.009589999999999432
46,2022-11-14 01:00:00+00:00,2022-11-21 00:55:00+00:00,13,5,8,-0.001350000000000115
47,2022-11-21 01:00:00+00:00,2022-11-25 23:45:00+00:00,13,4,9,-0.004230000000000109
